_id,name,lat,long,category,geometry,distance,category_simplify,city
6135fecc0c5109129a29ad90,Tunnel Top,37.79027800057224,-122.4072361885583,Nightclub,"{'type': 'Point', 'coordinates': [-122.4072361885583, 37.79027800057224]}",1.2517583345595793,Going Out,San Francisco
6135fecc0c5109129a29ada2,Love + Propaganda,37.78883841522084,-122.4068918711642,Nightclub,"{'type': 'Point', 'coordinates': [-122.4068918711642, 37.78883841522084]}",1.2538870525931527,Going Out,San Francisco
6135fecc0c5109129a29adae,Monroe,37.79807996778778,-122.40506712303328,Nightclub,"{'type': 'Point', 'coordinates': [-122.40506712303328, 37.79807996778778]}",1.2614181544957483,Going Out,San Francisco
6135fecc0c5109129a29add8,Lucky Creation Restaurant,37.79505604072138,-122.4072705244576,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-122.4072705244576, 37.79505604072138]}",1.295344327920372,Vegan Restaurant,San Francisco
6135fecc0c5109129a29ad66,True Sunshine Preschool Center,37.7929801940918,-122.40785217285156,Preschool,"{'type': 'Point', 'coordinates': [-122.40785217285156, 37.7929801940918]}",1.3012676330560629,Preschool,San Francisco
6135fecc0c5109129a29ad9b,15 Romolo,37.79813384627597,-122.40637986504598,Cocktail Bar,"{'type': 'Point', 'coordinates': [-122.40637986504598, 37.79813384627597]}",1.3620093943314016,Going Out,San Francisco
6135fecc0c5109129a29ad8d,The Starlight Room,37.78899161020305,-122.40841136135714,Nightclub,"{'type': 'Point', 'coordinates': [-122.40841136135714, 37.78899161020305]}",1.3792514011203258,Going Out,San Francisco
6135fecc0c5109129a29ad67,Seabird preschool,37.79718017578125,-122.40779876708984,Preschool,"{'type': 'Point', 'coordinates': [-122.40779876708984, 37.79718017578125]}",1.422249254342531,Preschool,San Francisco
6135fecc0c5109129a29adf5,The Stinking Rose,37.79829369624773,-122.40743841573936,Italian Restaurant,"{'type': 'Point', 'coordinates': [-122.40743841573936, 37.79829369624773]}",1.4511538343411965,Vegan Restaurant,San Francisco
6135fecc0c5109129a29ad80,San Francisco Giants Home Clubhouse,37.77825684452602,-122.39117295999084,Club House,"{'type': 'Point', 'coordinates': [-122.39117295999084, 37.77825684452602]}",1.5145146043181963,Going Out,San Francisco
6135fecc0c5109129a29adb3,American Airporter,37.78164,-122.40485,Taxi,"{'type': 'Point', 'coordinates': [-122.40485, 37.78164]}",1.5285109982423315,Transportation,San Francisco
6135fecc0c5109129a29ada9,Daniel's Café,37.785283129942606,-122.40887864145029,Café,"{'type': 'Point', 'coordinates': [-122.40887864145029, 37.785283129942606]}",1.5624135360572644,Going Out,San Francisco
6135fecc0c5109129a29ade3,Mr.East Kitchen,37.78045151746284,-122.40378102356958,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-122.40378102356958, 37.78045151746284]}",1.5707608373857973,Vegan Restaurant,San Francisco
6135fecc0c5109129a29adb5,Hertz,37.786569,-122.409923,Rental Car Location,"{'type': 'Point', 'coordinates': [-122.409923, 37.786569]}",1.5865787623502663,Transportation,San Francisco
6135fecc0c5109129a29adeb,54 Mint,37.782519074590496,-122.40803182125092,Italian Restaurant,"{'type': 'Point', 'coordinates': [-122.40803182125092, 37.782519074590496]}",1.6672906677988506,Vegan Restaurant,San Francisco
6135fecc0c5109129a29ad83,Indiegogo HQ,37.78157536914724,-122.40777806741184,Club House,"{'type': 'Point', 'coordinates': [-122.40777806741184, 37.78157536914724]}",1.717352070911079,Going Out,San Francisco
6135fecc0c5109129a29adb1,Delta Flight 6439,37.80549893272792,-122.38292848430812,Plane,"{'type': 'Point', 'coordinates': [-122.38292848430812, 37.80549893272792]}",1.767915575489314,Transportation,San Francisco
