_id,name,category_code,offices,address1,address2,city,latitude,longitude,country_code
613517e17c85e5f861db6325,MocoSpace,games_video,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '02111', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.350274, 'longitude': -71.058768}",,,Boston,42.350274,-71.058768,USA
613517e27c85e5f861db819e,M3X Media,games_video,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'West Palm Beach', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 26.72868, 'longitude': -80.099946}",,,West Palm Beach,26.72868,-80.099946,USA
613517e27c85e5f861db88ac,Garnet Biotherapeutics,biotech,"{'description': 'HQ', 'address1': '1 Great Valley Parkway', 'address2': 'Suite 12', 'zip_code': '19355', 'city': 'Malvern', 'state_code': 'PA', 'country_code': 'USA', 'latitude': 40.065531, 'longitude': -75.53122}",1 Great Valley Parkway,Suite 12,Malvern,40.065531,-75.53122,USA
613517e17c85e5f861db6762,Akoha,games_video,"{'description': None, 'address1': '3981 boul. St. Laurent', 'address2': 'Mezz 1', 'zip_code': 'H2W 1Y5', 'city': 'Montreal', 'state_code': None, 'country_code': 'CAN', 'latitude': 45.516545, 'longitude': -73.578477}",3981 boul. St. Laurent,Mezz 1,Montreal,45.516545,-73.578477,CAN
613517e27c85e5f861db876b,Wasatch Wind,cleantech,"{'description': '', 'address1': '357 W 910 S Suite A', 'address2': '', 'zip_code': '84032', 'city': 'Heber City', 'state_code': 'UT', 'country_code': 'USA', 'latitude': 40.4960244, 'longitude': -111.4199963}",357 W 910 S Suite A,,Heber City,40.4960244,-111.4199963,USA
613517e17c85e5f861db6d18,eJamming,games_video,"{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Boca Raton', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 26.367481, 'longitude': -80.114723}",,,Boca Raton,26.367481,-80.114723,USA
613517e17c85e5f861db625a,Crackle,games_video,"{'description': '', 'address1': '10202 W. Washington Blvd', 'address2': 'SPP 1127b', 'zip_code': '90232', 'city': 'Culver City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.017506, 'longitude': -118.401579}",10202 W. Washington Blvd,SPP 1127b,Culver City,34.017506,-118.401579,USA
613517e17c85e5f861db70d8,Lexy,games_video,"{'description': 'Corporate Headquarters', 'address1': '589 Howard Street', 'address2': 'Fifth Floor', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.786906, 'longitude': -122.397672}",589 Howard Street,Fifth Floor,San Francisco,37.786906,-122.397672,USA
613517e17c85e5f861db780c,SureSpeak,games_video,"{'description': 'Chicago Office', 'address1': '29 S Lasalle St', 'address2': 'Suite 1205', 'zip_code': '60603', 'city': 'Chicago', 'state_code': 'IL', 'country_code': 'USA', 'latitude': 41.889183, 'longitude': -87.632519}",29 S Lasalle St,Suite 1205,Chicago,41.889183,-87.632519,USA
613517e27c85e5f861db8679,2 Minutes,games_video,"{'description': '', 'address1': '9 rue biscornet', 'address2': '', 'zip_code': '75012', 'city': 'Paris', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8502056, 'longitude': 2.3698033}",9 rue biscornet,,Paris,48.8502056,2.3698033,FRA
613517e17c85e5f861db6d31,Gamook,games_video,"{'description': None, 'address1': '2735 Sand Hill Road', 'address2': '', 'zip_code': '94025', 'city': 'Menlo Park', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.41924, 'longitude': -122.208414}",2735 Sand Hill Road,,Menlo Park,37.41924,-122.208414,USA
613517e27c85e5f861db8740,SolarOne Solutions,cleantech,"{'description': '', 'address1': '354 Waverly St.', 'address2': 'Chestnut Place, 1st Floor', 'zip_code': '01702', 'city': 'Framingham', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.276902, 'longitude': -71.413567}",354 Waverly St.,"Chestnut Place, 1st Floor",Framingham,42.276902,-71.413567,USA
613517e27c85e5f861db87b4,NellOne Therapeutics,biotech,"{'description': '', 'address1': '10702 Murdock Road', 'address2': '', 'zip_code': '37932', 'city': 'Knoxville', 'state_code': 'TN', 'country_code': 'USA', 'latitude': 35.9155236, 'longitude': -84.1451163}",10702 Murdock Road,,Knoxville,35.9155236,-84.1451163,USA
613517e17c85e5f861db7c27,EcoVadis,cleantech,"{'description': 'Paris', 'address1': '4 rue du Faubourg Montmartre', 'address2': '', 'zip_code': '75009', 'city': 'PARIS', 'state_code': None, 'country_code': 'FRA', 'latitude': 48.8545738, 'longitude': 2.3216223}",4 rue du Faubourg Montmartre,,PARIS,48.8545738,2.3216223,FRA
613517e17c85e5f861db71c7,Network Foundation Technologies,games_video,"{'description': 'Corporate Headquarters', 'address1': '10250 Constellation Blvd.', 'address2': 'Suite 2062', 'zip_code': '90067', 'city': 'Century City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.057646, 'longitude': -118.417382}",10250 Constellation Blvd.,Suite 2062,Century City,34.057646,-118.417382,USA
613517e17c85e5f861db77f6,For Your Imagination,games_video,"{'description': 'HQ', 'address1': '22 West 27th Street', 'address2': '6th Floor', 'zip_code': '10001', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.744594, 'longitude': -73.989698}",22 West 27th Street,6th Floor,New York,40.744594,-73.989698,USA
613517e27c85e5f861db8860,Forterra Systems,games_video,"{'description': 'Corporate Headquarters', 'address1': '2207 Bridgepointe Parkway, Suite 200', 'address2': '', 'zip_code': '94404', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.561576, 'longitude': -122.284173}","2207 Bridgepointe Parkway, Suite 200",,San Mateo,37.561576,-122.284173,USA
613517e17c85e5f861db6900,AudioMicro,games_video,"{'description': '', 'address1': '13351-D Riverside Dr #219', 'address2': '', 'zip_code': '91423', 'city': 'Sherman Oaks', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.153588, 'longitude': -118.422495}",13351-D Riverside Dr #219,,Sherman Oaks,34.153588,-118.422495,USA
613517e27c85e5f861db874b,AJ Tech,cleantech,"{'description': '', 'address1': '44350 GUERANDE', 'address2': '', 'zip_code': '', 'city': 'GUERANDE', 'state_code': None, 'country_code': 'FRA', 'latitude': 47.3253193, 'longitude': -2.381592}",44350 GUERANDE,,GUERANDE,47.3253193,-2.381592,FRA
613517e17c85e5f861db72f4,Shattered Reality Interactive,games_video,"{'description': 'Main Office', 'address1': '490 2nd Street', 'address2': 'Suite 100', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.783046, 'longitude': -122.394067}",490 2nd Street,Suite 100,San Francisco,37.783046,-122.394067,USA
613517e17c85e5f861db74d1,Shattered Reality Interactive,games_video,"{'description': 'Main Office', 'address1': '490 2nd Street', 'address2': 'Suite 100', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.783046, 'longitude': -122.394067}",490 2nd Street,Suite 100,San Francisco,37.783046,-122.394067,USA
