name,latitud,longitud,category
Us Helicopter,40.702437069656874,-74.0131224765933,Airport Terminal
Priority One Jets,40.709287775,-74.00682172500001,Plane
Mobil Car Service,40.711238861083984,-73.95133972167969,Taxi Stand
Eastern Car Service,40.665421477447644,-73.98895025253296,Taxi
Corporate Express Travel,40.72242903386563,-74.00240421295166,Travel Agency
Legends Limousine & Car Service,40.682118808593735,-73.98023843765259,Transportation Service
Pratt Car Service,40.688185494217336,-73.9535445137851,Taxi
Northside Car Service,40.716978,-73.958776,Taxi
Lower East Side Car Service,40.726151,-73.977334,Taxi
"NYC Lucky Limo, Inc.",40.70585566774556,-74.00643825531006,Rental Car Location
100 Gold Street,40.710384113506215,-74.00415730375785,Government Building
NYC Airport Limo,40.712361897055914,-74.01034623384476,Transportation Service
America United Car & Limo Service,40.7230779208348,-73.9503989552724,Taxi
Bus Charter Rental,40.720756,-73.99605799999999,Transportation Service
Song Car & Limousines Services,40.73238082914018,-73.95410299301147,Taxi
Federal Reserve Bank of New York,40.70838097347919,-74.00865375995636,Bank
NYC Dept of Finance,40.70888280564109,-74.00772687604,Government Building
Amazing New York Limo Service,40.72346878051758,-74.00883483886719,Rental Car Location
SkyHome,40.717994207719876,-73.98499037854945,Airport Lounge
Dumbo Car Service,40.703317,-73.987829,Airport Tram
In an Uber,40.73304415220359,-74.00004457177805,Taxi
Park Slope Car Service,40.6773241,-73.98518779999999,Taxi
Blink Travel,40.729056,-73.993305,Airport Service
Emigrate Canada,40.73086864241804,-73.99272680282593,Airport Service
Airport Shuttle to JFK,40.72683,-73.98664,Taxi
Dollar Rent A Car,40.736675939139,-73.97987865343966,Rental Car Location
Hollywood Car and Limo,40.695234200000016,-73.99037755449217,Airport Tram
One World Observatory,40.712819,-74.013274,Scenic Lookout
King And Queen Limo INC,40.70551,-74.00633,Transportation Service
Brooklyn Radio Dispatcher,40.714892,-73.959682,Transportation Service
New York Passport Agency,40.72850687578294,-74.00692748733293,Government Building
SempeRide,40.7042,-74.01106,Airport Tram
Gotham Limousine,40.740154,-73.986968,Airport Tram
Silvercup Limousine Inc,40.689687,-73.92276,Airport Tram
Zip Aviation,40.70159467918013,-74.0091774518027,Airport
NY Penn Station baggage claim,40.702811833091864,-73.98386667401014,Baggage Claim
New York Skyports Seaplane Base,40.73495887716983,-73.97299073366773,Airport
Apex Coach,40.67192316055298,-73.99888180196285,Airport Tram
Angel Miles Bus Charter and Limo,40.66379165649414,-73.9952163696289,Bus Station
Wag Club,40.69276602768822,-74.00003471860366,Pet Service
Rocco & Jezebel For Pets Grooming & Boarding,40.69797631255361,-73.99224091113379,Pet Store
Happy Paws,40.72531116428828,-73.99515924953168,Pet Store
Petropolis,40.7079952,-74.0143571,Pet Store
Doggy Style NYC,40.73245935362439,-73.99415828029825,Pet Store
PetSmart,40.689093,-73.991318,Pet Store
Posh Pets Grooming & Boarding,40.679402,-73.974436,Pet Store
Carroll Gardens Pet Grooming,40.68276724002077,-73.99051368650817,Pet Service
American Academy of Pet Grooming Inc.,40.739885,-73.981983,Pet Service
Wild Ginger,40.687897607120746,-73.98972962712507,Vegetarian / Vegan Restaurant
sweetgreen,40.702812,-73.9898329,Vegetarian / Vegan Restaurant
LuAnne's Wild Ginger,40.689644,-73.969824,Vegetarian / Vegan Restaurant
Guevara’s,40.688014,-73.962873,Vegetarian / Vegan Restaurant
Le Petit Monstre,40.69634,-73.967704,Vegetarian / Vegan Restaurant
Avant Garden,40.72616113541542,-73.98386607655708,Vegetarian / Vegan Restaurant
Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant
Public Display of Affection,40.67731775009104,-73.98267161349182,Vegetarian / Vegan Restaurant
JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Vegetarian / Vegan Restaurant
Champs Diner,40.70833454520133,-73.94081610648125,Vegetarian / Vegan Restaurant
The V Spot,40.67805723856291,-73.97939186012711,Vegetarian / Vegan Restaurant
by CHLOE.,40.7152143,-73.9593632,Vegetarian / Vegan Restaurant
sweetgreen,40.7056257,-74.0082823,Vegetarian / Vegan Restaurant
The Shanti Shack,40.71689324918532,-73.96237803401777,Vegetarian / Vegan Restaurant
Le Botaniste,40.720544695755194,-74.00013783329237,Vegetarian / Vegan Restaurant
Modern Love Brooklyn,40.709911052953565,-73.95100799464392,Vegetarian / Vegan Restaurant
Dirt Candy,40.717889859794,-73.99101507421003,Vegetarian / Vegan Restaurant
Natural Blend,40.67381852431168,-73.9629234409728,Vegetarian / Vegan Restaurant
Juice Press,40.71478769908051,-74.0111317502157,Vegetarian / Vegan Restaurant
The Butcher’s Daughter,40.714905,-73.95852,Vegetarian / Vegan Restaurant
sweetgreen,40.7157953,-73.9591804,Vegetarian / Vegan Restaurant
Buddha Bodai 佛菩提素菜,40.71379837914967,-73.99867652064822,Vegetarian / Vegan Restaurant
Ladybird,40.72651436911113,-73.98466888002645,Vegetarian / Vegan Restaurant
Spicy Moon,40.72675410362935,-73.98709466079313,Vegetarian / Vegan Restaurant
Bar Velo Brooklyn,40.70709660165953,-73.9543318189448,Vegetarian / Vegan Restaurant
Punjabi Grocery & Deli,40.722418377692485,-73.98694780645458,Vegetarian / Vegan Restaurant
Vegetarian Palate,40.67941920040055,-73.97402363302241,Vegetarian / Vegan Restaurant
by CHLOE.,40.72277,-73.9972,Vegetarian / Vegan Restaurant
Nish Nush,40.709418,-74.008056,Vegetarian / Vegan Restaurant
Divya's Kitchen,40.72350129817862,-73.98830432442786,Vegetarian / Vegan Restaurant
Little Choc Apothecary,40.71195572791476,-73.95733343601323,Vegetarian / Vegan Restaurant
B & H Dairy,40.728357538879855,-73.98790536256817,Vegetarian / Vegan Restaurant
Terms Of Endearment,40.716221,-73.962272,Vegetarian / Vegan Restaurant
Peacefood Café,40.733191059945106,-73.99295917113982,Vegetarian / Vegan Restaurant
Xilonen,40.723491,-73.951925,Vegetarian / Vegan Restaurant
The Butcher's Daughter,40.720592723672716,-73.99490554160472,Vegetarian / Vegan Restaurant
Lekka Burger,40.715246,-74.010559,Vegetarian / Vegan Restaurant
Nish Nūsh,40.71553710116416,-74.00772452925565,Vegetarian / Vegan Restaurant
Superiority Burger,40.72754947104763,-73.9832897923765,Vegetarian / Vegan Restaurant
Magic Mix Juicery,40.709699,-74.006898,Vegetarian / Vegan Restaurant
Hana Food,40.71398958519538,-73.95117126036894,Vegetarian / Vegan Restaurant
Vinnie's Pizzeria,40.718849475608906,-73.95664316449509,Vegetarian / Vegan Restaurant
Wild Ginger Vegetarian Kitchen,40.7204313711967,-73.99663971306008,Vegetarian / Vegan Restaurant
Rawsome Treats,40.720888,-73.988547,Vegetarian / Vegan Restaurant
Erin McKenna's Bakery,40.718001452016765,-73.98975509385077,Vegetarian / Vegan Restaurant
Cinnamon Girl,40.68934307937858,-73.95136671489776,Vegetarian / Vegan Restaurant
Beyond Sushi,40.73280955766724,-73.98600191799638,Vegetarian / Vegan Restaurant
Double Zero,40.72610826388715,-73.98980624666206,Vegetarian / Vegan Restaurant
Dao Palate,40.677872527795216,-73.97301052424018,Vegetarian / Vegan Restaurant
JuiceryKitchen,40.717929780969385,-73.95218873184832,Vegetarian / Vegan Restaurant
