_id,name,lat,long,category,geometry,distance
6135fed00c5109129a29aea8,Vegetarian Palate,40.67941920040055,-73.97402363302241,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.97402363302241, 40.67941920040055]}",1.9743076568553768
6135fed00c5109129a29ae33,TBA Brooklyn,40.71111107469506,-73.96643518688612,Nightclub,"{'type': 'Point', 'coordinates': [-73.96643518688612, 40.71111107469506]}",2.0039362982818196
6135fed00c5109129a29ae98,The V Spot,40.67805723856291,-73.97939186012711,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.97939186012711, 40.67805723856291]}",2.0535102858263574
6135fed00c5109129a29ae37,Bembe,40.71111779977869,-73.96524678477205,Nightclub,"{'type': 'Point', 'coordinates': [-73.96524678477205, 40.71111779977869]}",2.064841628842264
6135fed00c5109129a29ae01,Preschool Of America,40.712042,-73.994511,Preschool,"{'type': 'Point', 'coordinates': [-73.994511, 40.712042]}",2.098502928659961
6135fed00c5109129a29ae5a,Weather Up,40.67997399383786,-73.96801421863265,Cocktail Bar,"{'type': 'Point', 'coordinates': [-73.96801421863265, 40.67997399383786]}",2.1133401654901807
6135fed00c5109129a29ae17,The Learning Experience - Clinton Hill,40.68833,-73.95765,Preschool,"{'type': 'Point', 'coordinates': [-73.95765, 40.68833]}",2.120513988486894
6135fed00c5109129a29ae96,JaJaJa Plantas Mexicana,40.71419762724543,-73.9901568736444,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.9901568736444, 40.71419762724543]}",2.1327877350215276
6135fed00c5109129a29ae95,Public Display of Affection,40.67731775009104,-73.98267161349182,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.98267161349182, 40.67731775009104]}",2.1428864768881537
6135fed00c5109129a29aebe,Dao Palate,40.677872527795216,-73.97301052424018,Vegetarian / Vegan Restaurant,"{'type': 'Point', 'coordinates': [-73.97301052424018, 40.677872527795216]}",2.163299628444615
6135fed00c5109129a29ae02,Rivendell School,40.677481630378345,-73.98595641973749,Preschool,"{'type': 'Point', 'coordinates': [-73.98595641973749, 40.677481630378345]}",2.1676544797069233
